URLs,Price,#Ratings
https://www.amazon.co.uk/Apple-EarPods-with-Lightning-Connector/product-reviews/B01M1EEPOB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,17,"24,883 ratings"
https://www.amazon.co.uk/Sony-WH-1000XM3-Wireless-Cancelling-Headphones-Black/product-reviews/B07GDR2LYK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,248,"20,781 ratings"
https://www.amazon.co.uk/Earphones-Blukar-Headphones-Sensitivity-Microphone-Silver/product-reviews/B07QLWMDLC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,6,"25,250 ratings"
https://www.amazon.co.uk/JVC-HA-L50-B-E-Lightweight-Headphones-Black/product-reviews/B000I2J4S4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,"5,852 ratings"
https://www.amazon.co.uk/Sony-MDR-ZX310AP-Foldable-Headphones-Smartphone-Metallic-Red/product-reviews/B00I3LV3EU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,"3,192 ratings"
https://www.amazon.co.uk/EarFun-Wireless-Bluetooth-Detection-Headphones-Matte-Black/product-reviews/B088H7GMHZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,31,"12,770 ratings"
https://www.amazon.co.uk/Sony-MDR-EX15AP-Earphones-Smartphone-Control-Black/product-reviews/B00I3LV1HE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,7,"13,006 ratings"
https://www.amazon.co.uk/Betron-AX5-Headphones-Microphone-Smartphones-Black-Gold/product-reviews/B0786S43W4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,9,"3,264 ratings"
https://www.amazon.co.uk/JVC-Headphones-Earphones-Compatible-Samsung-Black/product-reviews/B00ZAT03S0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,765 ratings
https://www.amazon.co.uk/Isolating-Headphones-Microphone-Lightweight-Earphones/product-reviews/B083J88QRS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,7,"12,864 ratings"
